##name	Finance, Economy, Law and Business
##sourceLang	English
##targetLang	Hebrew
##bgl_defaultCharset	cp1252
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1255
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1255
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_middleUpdated	2005/08/13, 09:30
##author	Yael Sela-Shapiro
##description	This glossary holds financial, economic and legal terms. All terms are verified. \nPlease note that some terms may have more than one translation.
##browsingEnabled	
##bgl_creationTime	2004/02/25, 07:52
8EAF66FD.bmp	File: 8EAF66FD.bmp
exercise price	מחיר מימוש (של נייר ערך)
expected return	תשואה צפויה
exponential smoothing	החלקה מעריכה (שיטה סטטיסטית חשבונאית)
export of goods|goods export	יצוא סחורות
export volume	נפח היצוא
external auditor|auditor	מבקר חיצוני
external failure	כשל חיצוני
extinguish	לסלק חוב
extinguishment	סילוק חוב
extraordinary item|extraordinary items	פריט מיוחד
face amount	סכום נקוב
factory overhead	תקורת חרושת
failure	כֶּשל
fair market value	ערך שוק הוגן
fair value	ערך הוגן
feedforward	היזון קדימה (בניגוד להיזון חוזר - feedback)
fidelity bond	ערובת אומן (ביטוח לכיסוי נזקיו של אדם שניתן בו אמון והוא הכזיב)
final good|final goods	מוצר סופי (שניתן להשתמש בו כמות שהוא ואינו דורש עיבוד נוסף).
financial derivative	נגזרת פיננסית
financial instrument|financial instruments	מסמך כספי
financial lease|finance lease	חכירה מימונית / הונית
financial leverage degree|DFL|degree of financial leverage	דרגת המנוף הפיננסי
firm commitment	התקשרות מחייבת
fiscal period	תקופת כספים
fixed overhead	הוצאות תקורה קבועות
flextime	זמן עבודה גמיש
flow variable|flow variables	משתנה זורם (יחסים שגם המונה וגם המכנה שלהם הינם משתנים זורמים, כגון יחס החוב לייצור)
footing test|footing|footings	בדיקת סיכומים
foreign assets	נכסים במטבע חוץ
forein fund	קרן חוץ (קרן נאמנות שהוקמה בחו"ל).
forward exchange	שטר חליפין למועד
free rider|free ride|free riding	טפיל, טפילות
freight absorption	ספיגת דמי הובלה
general ledger	ספר כללי
generalized audit software	תוכנת ביקורת מוכללת
global depository Receipt|GDR	תעודת פדיון גלובאלית
going concern assumption	הנחת עסק חי
good faith|good-faith	תום לב
goods and services account	חשבון סחורות ושירותים
goods sold	סחורה שנמכרה
goodwill amortization	ירידת ערך המוניטין
gross domestic product|GDP	תוצר לאומי גולמי
gross margin	רווח גולמי
hash total	סכום גיבוב<BR>*סיכום סרק*
hedge	להתגונן, לגדר
hedging relationship	יחסי גידור
housing start|building permit|building permits|housing starts	התחלות בנייה / היתרי בנייה
identifiable	בר-זיהוי
implementation	מימוש (מערכת מחשב)
implicit interest	ריבית משתמעת
import of goods|goods import	יבוא סחורות
import volume	נפח היבוא
imputed charge	חיוב רעיוני
imputed interest	ריבית זקופה
in ample time|in time	מבעוד מועד
in process|in-process	בתהליך
income approach	גישת ההכנסה / גישת היוון ההכנסות
income bond	אג"ח הכנסה
income statement	דוח רווח והפסד
income summary	סיכום הכנסה
incremental	תוספתי
incremental cash flow	תזרים מזומנים תוספתי
incurred cost	עלות שנגרמה
index fund	קרן אינדקס (קרן המשקיעה בהתאמה למדד מסוים קיים, קבוע מראש ואינו משתנה)
index of export volume|export volume index	מדד נפח היצוא
index of import volume|import volume index	מדד נפח היבוא
indexed bond|index bond|indexed bonds	אגרת חוב צמודה (למדד)
industrial output	תפוקת התעשיה
industry	ענף
inflow	(מזומנים) מפעילות
information on the Creditor|information on Creditor	מידע על נושים
inheritance Order	צו ירושה
instrument	מכשיר (פיננסי)
integral equipment	ציוד המהווה חלק אינטגרלי מנכס
integrated Test Facility|ITF	מתקן בדיקה משולב
interest expense	הוצאות ריבית
interest income	הכנסה מריבית
interest payable	ריבית לשלם
interim	ביניים
intermediate good|intermediate goods	מוצר ביניים (שאני מיועד לצריכה ישירה אלא מהווה תשומה ליצור מוצרים סופיים final goods)
internal auditor|auditor	מבקר פנימי
internal failure	כשל פנימי (ניהול איכות)
international Reserves	יתרות מטבע חוץ
internationl accounting standard|IAS	תקני חשבונאות בינלאומיים<BR>תקן בינלאומי לחשבונאות
internatl audit	ביקורת פנימית
inventory control	בקרת מלאי
inventory turnover	מחזור מלאי
inventory turnover rate|turnover rate	יחס מחזור המלאי
inventory valuation	הערכת מלאי
investment asset	נכס השקעה
investment good|investment goods	נכסי השקעה
investment income	הכנסה מהשקעות
job enlargement	הרחבת העיסוק (טכניקת ניהול)
joint venture	מיזם משותף
journal entry	רישום יומן
just in time|J.I.T|JIT|just-in-time	ניהול זמן אמת
justification	הצדקה (חשבונאות)
labor productivity|labour productivity	פריון כוח העבודה
lead time	זמן תגובה
legal obligation	חובה מן הדין
liability insurance	ביטוח חבות
liabilty	חבות<BR>התחייבות=obligation<BR>מחויבות=commitment
libel	הוצאת לשון הרע
linear programming	תכנון ליניארי
liquidation	חיסול
listing	רישום
lockbox	תיבת הפקדה
