##name	Country Phone Codes
##sourceLang	English
##targetLang	English
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_middleUpdated	2003/01/20, 11:57
##author	Nivi Naor
##description	Just about every international phone code you can think of.
##browsingEnabled	
##bgl_creationTime	2001/01/17, 15:12
8EAF66FD.bmp	File: 8EAF66FD.bmp
Dominican Republic	1809
Dubai (UAE)|Dubai	971
Ecuador	593
Egypt Arab Rep. of	20
El Salvador	503
Ellice Is. (Tuvalu)|Ellice Is.	688
England (U.K.)|England	44
Equatorial Guinea	240
Estonia	7
Ethiopia	251
Faroe (Faeroe) Is.	298
Fiji Islands (Suva)|Fiji Islands	679
Finland	358
Formosa (Taiwan)|Formosa	886
France	33
French Antilles	596
French Guiana	594
French Polynesia	689
Fujaira (UAE)|Fujaira	9719
Futuna & Wallis Is.	681
Gabon Rep.	241
Gambia	220
Germany	49
Ghana	233
Gibraltar	350
Gr. Britain/No. Ire.	44
Greece	30
Greenland	299
Grenada (BWI)|Grenada	1809440
Grenadines & St. Vinc.	1809
Guadeloupe (Fr. Ant.)|Guadeloupe	590
Guam	671
Guantanamo Bay USN	5399
Guatemala	502
Guinea-Bissau	245
Guinea Equatorial	240
Guinea People Rep.	224
Guyana	592
Haiti	509
Hawaii (USA)|Hawaii	1808
Hawaii (USA) AT&T Telex	1808
Holland (Netherlands)|Holland	31
Honduras Rep. of	504
Hong Kong	852
Hungary	36
Iceland	354
India	91
Indian Ocean Inmarsat	873
Indonesia	62
Inmarsat Atlantic Ocean	871
Inmarsat Indian Ocean	873
Inmarsat Pacific Ocean	872
Iran	98
Iraq	964
Ireland Northern (UK)|Ireland Northern	44
Ireland Rep. of (Eire)|Ireland Rep. of	353
Israel	972
Italy	39
Ivory Coast	225
Jamaica (BWI)|Jamaica	1809
Japan	81
Jordan	962
Kampuchea (Cambodia)|Kampuchea	85
Kenya	254
Kiribati Rep.	686
Korea Rep. of (South)|Korea Rep. of	82
Kuwait	965
Laos Peoples Dem. Rep. of	856
Latvia	7
Lebanon	961
Lesotho	266
Liberia	231
Libyan Arab Jamahiriya	218
Liechtenstein	423<BR>4175 (old)
Lithuania	7
Luxembourg	352
Macao (Macau)|Macao	853
Madagascar Dem. Rep.	261
Malawi	265
Malaysia	60
Maldives	960
Mali Rep. of	223
Malta	356
Marshall Is.	692
Martinique (French Ant.)|Martinique	596
Mauritania Islamic Rep.	222
Mauritius Is.	230
Mayotte (France)|Mayotte	33
Mexico	52
Micronesia	691
Monaco	3393
Mongolian Peoples Rep.	976
Montserrat (BWI)|Montserrat	1809491
Morocco	212
Mozambique	258
Namibia (S.W. Africa)|Namibia	264
Nauru	674
Nepal	977
Netherland Antilles	599
Netherlands (Holland)|Netherlands	31
Nevis [St. Kitts] (BWI)|Nevis [St. Kitts]	1809
New Caledonia	687
New Guinea Papua	675
New Hebrides (Vanuatu)|New Hebrides	678
New Zealand	64
Nicaragua	505
Niger Rep.	227
Nigeria Fed. Rep.	234
Niue Is.	6
Norfolk Island	672
Northern Ireland (UK)|Northern Ireland	44
Northern Mariana Is.	670
Norway	47
Okinawa (JAPAN)|Okinawa	81
Oman	968
Pacific Ocean Inmarsat	872
Pakistan	92
Panama	507
Papua New Guinea	675
Paraguay	595
Peru	51
Philippines	63
Poland	48
Portugal Madeira & Azores	351
Principe Sao Tome &	239
Puerto Rico	1809
Qatar	974
Ras Al Khaimah (UAE)|Ras Al Khaimah	9717
Reunion Is.	262
Romania	40
Russia (Formerly USSR)|Russia	7
Rwanda	250
Ryukyu Is. (Okinawa)|Ryukyu Is.	81
Saba (Neth. Ant.)|Saba	599
Saipan (N. Mariana Is.)|Saipan	670
Samoa American	684
Samoa Western	685
San Marino	39549
Sao Tome & Principe	239
Saudi Arabia	966
Senegal Rep.	221
Seychelles Is.	248
Sharjah (UAE)|Sharjah	971
Sierra Leone	232
Singapore Rep. of	65
Slovenia	42
Solomon Is.	677
Somali Rep.	252
South Africa Rep. of	27
Southwest Africa/Namibia	264
Spain	34
Sri Lanka (Ceylon)|Sri Lanka	94
St. Christopher (BWI)|St. Christopher	1809
St. Croix (US V.I.)|St. Croix	1809
St. Kitts - Nevis (BWI)|St. Kitts - Nevis	1809
St. Lucia (BWI)|St. Lucia	1809
St. Martin (Fr. Ant.)|St. Martin	596
St. Pierre/Miquelon Is.	508
St. Thomas (US V.I.)|St. Thomas	1809
St. Vincent/Grenadines (W.I.)|St. Vincent/Grenadines	1809
Suriname Rep. of	597
Swaziland	268
Sweden	46
Switzerland	41
Syrian Arab Rep.	963
Tahiti (Fr. Polynesia)|Tahiti	689
Taiwan (Rep. of China)|Taiwan	886
Tanzania (Zanzibar)|Tanzania	255
Thailand	66
Togolese Rep.	228
Tonga Is.	676
Tortola (Br. V.I.)|Tortola	1809
Trinidad & Tobago (BWI)|Trinidad & Tobago	1809
Tunisia	216
Turkey	90
Turks & Caicos Is.	1809
Tuvalu (Ellice Is.)|Tuvalu	688
U.S.S.R. [Russia] (C.I.S.)|U.S.S.R. [Russia]	7
Uganda	256
Ukraine	7
Umm Al Quwain (UAE)|Umm Al Quwain	9716
United Arab Emirates	971
United Kingdom	44
United States	1
United States - Alabama	1205
United States - Alaska	1907
United States - Arizona	1602
United States - Arkansas	1501
United States - California	1408
United States - Colorado	1303
United States - Connecticut	1203
United States - Delaware	1302
United States - Dist. of Columbia	1202
United States - Florida	1407
United States - Georgia	1706
United States - Idaho	1208
United States - Illinois	1708
United States - Indiana	1219
United States - Iowa	1515
United States - Kansas	1913
United States - Kentucky	1606
United States - Louisiana	1318
United States - Maine	1207
United States - Maryland	1301
United States - Massachusetts	1413
United States - Michigan	1313
United States - Minnesota	1218
United States - Mississippi	1601
