##name	Computer Abbreviations v1.5
##sourceLang	English
##targetLang	English
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_middleUpdated	2002/09/29, 22:18
##author	ilker akkaya
##description	Computer Abbreviations and File Extensions
##bgl_creationTime	2000/10/12, 20:29
8EAF66FD.bmp	File: 8EAF66FD.bmp
.A06	Lotto Pro 2002 Smart Number Ticket<BR>
.A11	AIIM Graphic<BR>
.A31	Authorware 3.x Library<BR>
.A3D	Amapi 3D Modeling<BR>
.A3K	Yamaha A3000 Sampler File<BR>
.A3L	Authorware 3.x Library<BR>
.A3M	Unpackaged Authorware MacIntosh File<BR>
.A3W	Unpackaged Authorware Windows File<BR>
.A41	Authorware 4.x Library<BR>
.A4L	Authorware 4.x Library<BR>
.A4M	Unpackaged Authorware MacIntosh File<BR>
.A4P	Authorware File Without Runtime<BR>
.A4W	Unpackaged Authorware Windows File<BR>
.A51	Authorware 5.x Library<BR>
.A5L	Authorware 5.x Library<BR>
.A5W	Unpackaged Authorware Windows File<BR>
.A64	Artist 64
.A65	Macromedia Authorware v6.5 (unverified)<BR>
.A8	Cubicomp PictureMaker 24bit 3D Animation (DOS-based animation program; graphics cards external to computer; Cubicomp closed 1990)<BR>
.A86	A86 Assembler Program File<BR>
.AA	Audio Book File<BR> PROGNOSIS Automated Analyst Document File<BR>
.AAA	Xtal Backup (System of Crystallographic Programs)<BR> Softphrase Automation File<BR> App Cam Automation File<BR> Sybase SQLAnywhere Temp File<BR>
AAB	All-to-All Broadcast
.AAC	Advanced Audio Coding File <BR>
AAL	Asynchronous Transfer Mode Adaption Layer
.AAM	Authorware Shocked File<BR>
.AAO	America's Army Map<BR>
AAP	Applications Access Point [DEC]
.AAS	Authorware Shocked Packet <BR>
AASP	ASCII Asynchronous Support Package
.AAT	Arcinfo Line Data Attribute Data (GIS-related file)<BR>
.AB	Applix Builder File<BR>
.AB$	AutoCAD Spooled Plot File<BR>
.AB2	Parson's Address Book<BR>
.AB3	PhotoImpact Album File<BR>
.AB4	ENIAC Computing AB4 Accounting & Business File<BR>
.AB6	AB Stat Data<BR>
.AB8	AB Stat Data<BR>
.ABA	Palm Address Book File<BR>
.ABC	Flowchart <BR> Musical Notation Language File (folk melodies originally)<BR> Pro-Act (Activity Based Costing)<BR>
.ABD	AmBiz Bonus Calculator Data File<BR> Adventure Builder Database<BR>
ABEND	Abnormal End
.ABF	Adobe Binary Screen Font<BR>
ABI	Application Binary Interface
ABIOS	Advanced BIOS
ABIST	Automatic Built-In Self-Test [IBM]
.ABK	Corel Draw AutoBackup<BR> Any Automatic Backup <BR>
.ABL	Maxagrid Avails Data File (text format)<BR>
ABLE	Adaptive Battery Life Extender
.ABM	HitPlayer Audio Album File<BR> Photo Impressions 2000 Album<BR> Album File (various)<BR>
.ABO	Applix Builder Turbo File<BR>
ABR	Available Bit Rate
ABRS	Automated Book Request System [British Library]
ABS	Address Book Synchronization [IBM] + Absolute
.ABT	The Arbiter Sports Official Schedule <BR>
ABTS	ASCII Block Terminal Services
.ABW	AbiWord Document File <BR>
.ABX	WordPerfect Address Book File<BR>
.ABZ	AbszOrb (textured spinning orb creator)<BR>
.AC	CaseWare Working Papers Client File<BR>
.AC$	AutoCAD Undo Info<BR>
.AC3	AC3 Audio File Format <BR>
.AC_	CaseWare Working Papers Compressed Client File<BR>
.ACA	Microsoft Agent Character File<BR> Project Manager Workbench File<BR>
ACAP	Application Configuration Access Protocol
.ACB	ACBM Graphic Image <BR> AOL Cab Launcher (archived data file)<BR>
.ACC	DR-DOS Viewmax File <BR>
ACCMAIL	Accessing the Internet Via Email
ACD	Automatic Call Distribution
ACDI	Asynchronous Communications Device Interface
